tx_title,phrase_id,v,sentence,translation
Hombre-pobre y hombre-rico,T55_P172,koj,Rek... pongamos re chaq tren koj protext re jnimal.+,Pongamos ellos hicierón pretextos de: (hizo pretexto)
Hombre-pobre y hombre-rico,T55_P174,en,"A... i weyn kaabal xen k'ex chwe iin,+",A y a mi cabal me hizo daño a mi.
Hombre-pobre y hombre-rico,T55_P174,k'ex,"A... i weyn kaabal xen k'ex chwe iin,+",A y a mi cabal me hizo daño a mi.
Hombre-pobre y hombre-rico,T55_P175,k'am,naa xk'am chinwch.+,Nada se llevaron o se vendierón de lante de mi. (a mí no me compraron)
Hombre-pobre y hombre-rico,T55_P177,b'an,lajori neen tinb'an lajori apenad k'is kompadr rik.+,¿Y ahora que hago? muy preocupado el compadre rico.
Hombre-pobre y hombre-rico,T55_P178,toj,"Xtoj maq kwa'y juntir despwes,+",Pago los caballos todo despues.
Hombre-pobre y hombre-rico,T55_P179,ij,xij... i despwes kla' xk'is si pwes.+,Dijo y despues allí termino si pues.$$
Hombre-pobre y hombre-rico,T55_P179,k'is,xij... i despwes kla' xk'is si pwes.+,Dijo y despues allí termino si pues.$$
Sapo y venado,T49_P2,yol,"I tinyol chik jun istorya,+",Y contare otra historia.
Sapo y venado,T49_P3,q'ax,komoo tawila'ka' man jun xq'ax.+,Como ya vió aquel que paso.
Sapo y venado,T49_P12,en,"xen rechaq,+",Hicieron ellos.
Sapo y venado,T49_P17,yol,"Baay lajori xyol chik ra,+",Baya ahora contó otra.
Sapo y venado,T49_P24,k'ul,"I kabalmente xk'ul ra ixpaqar,+",Y cabalmente encontro el sapo.
Sapo y venado,T49_P36,tij,"Tinatij noo,+",Me vas a comer noo.
Sapo y venado,T49_P45,b'an,ke iin ta' naa tinb'an chawe.+,Yo no te estoy haciendo nada vos.
Sapo y venado,T49_P50,taw,Per lajori xtaw a'ora atintij.+,Pero ahora llego tu hora te voy acomer.
Sapo y venado,T49_P53,taw,Lajori ya xtaw arat a'ora atintij.+,"Ahora ya llego tu rato, tu hora que te como."
Sapo y venado,T49_P55,ij,"Xij re man, man ra kiyej berda.+",Dijo él venado verdad.
Sapo y venado,T49_P57,taw,ya xtaw oora atintij.+,Ya llego la hora de comerte.
Sapo y venado,T49_P70,ch'ek,"el ke tch'ekonk ri' tch'ekon,+",El que gana es el ganador.
Sapo y venado,T49_P70,ch'ek,"el ke tch'ekonk ri' tch'ekon,+",El que gana es el ganador.
Sapo y venado,T49_P71,perder,"el ke neen tren perder ri' tren perder,+","El que, quien pierda, es el de perder."
Sapo y venado,T49_P71,perder,"el ke neen tren perder ri' tren perder,+","El que, quien pierda, es el de perder."
Sapo y venado,T49_P80,ya',tinya' respwest chawe.+,Te dare la respuesta.
Sapo y venado,T49_P83,ij,kabal xij.+,Cabal dijo.
Sapo y venado,T49_P87,taw,Jun q'iij re martes intaw.+,Un dia de martes llego.
Sapo y venado,T49_P92,ya',uxib' brink tinya' chawe.+,Tres brincos te doy.
Sapo y venado,T49_P95,tij,"atintija'n,+",Te comeré.
Sapo y venado,T49_P105,komnikar,Lajori i kabal xen komnikar rib'aq+,Ahora y cabal se comunicarón.
Sapo y venado,T49_P111,alinyar,rechaq tqa'an alinyar qiib'.+,Nos alineamos.
Sapo y venado,T49_P119,tij,"lagran jilonli ta' tzii ojtija', ojki'sa' juntir.+","La gran: así no es bueno, nos va a terminar a todos."
Sapo y venado,T49_P119,k'is,"lagran jilonli ta' tzii ojtija', ojki'sa' juntir.+","La gran: así no es bueno, nos va a terminar a todos."
Sapo y venado,T49_P131,muláj,Xmulaj rib'aq+,Se amontonaron ellos.
Sapo y venado,T49_P132,muláj,"i... xmulaj rib'aq koom k'iiy,+",Y se amontonaron ellos como son muchos.
Sapo y venado,T49_P134,en,"Xen alinyar ka... kaa tres metro jxo'laq,+",Se alinearon cada cada tres metros de espacios.
Sapo y venado,T49_P134,alinyar,"Xen alinyar ka... kaa tres metro jxo'laq,+",Se alinearon cada cada tres metros de espacios.
Sapo y venado,T49_P140,en,"baay kwand xensaja...,+",Baya cuando se hizo.
Sapo y venado,T49_P141,tz'api,"xtz'apijtqa' juntir man kampo,+",Taparon todo el campo.
Sapo y venado,T49_P155,te',nab'e chuch kla' ta' ojte'.+,Adelante de allí no nos alcanza.
Sapo y venado,T49_P160,en,"Xen taq komnikar ri'b'al,+",Se comunicaron entre ellos.
Sapo y venado,T49_P160,komnikar,"Xen taq komnikar ri'b'al,+",Se comunicaron entre ellos.
Sapo y venado,T49_P165,wa'r,"Xe' man jun xi'wa'roq chuch,+","Se fue uno de ellos, se fue a parar en frente de él."
Sapo y venado,T49_P171,b'ij,Noo xin b'ij chawe+,No que te lo dije.
Sapo y venado,T49_P172,yol,kwando ree' xatyolow uk'il.+,Cuando antes platicastes con migo.
Sapo y venado,T49_P178,cha',"Si atkwin cha'saj re,+",Si podes le dijeron a él.
Sapo y venado,T49_P185,tij,Baa inatije' lajori win chaq ák'il.+,Baya comeme ahora que estoy con vos.
Sapo y venado,T49_P186,tij,"Inatije',+",Comeme.
Sapo y venado,T49_P189,en,"xen ra ben... xen ra, ra, ra ixpaqar xijk'we' rib',+",Lo que hizo el venado... Hizo el sapito se fue a esconderse.
Sapo y venado,T49_P194,t'oj,"Kwand xt'oj kib',+",Cuando tiro dos.
Sapo y venado,T49_P200,maj,"xmaj jun jol,+",Comenzo una carrera.
Sapo y venado,T49_P209,ya',Saber jurub' welt xya'w.+,Saber cuantas vueltas dio.
Sapo y venado,T49_P214,mira,"I baa i baa mira,+",Y va y va mira.
Sapo y venado,T49_P237,ye',"Kwand xye' jun welt chik,+",Cuando dio una vuelta más.
Sapo y venado,T49_P238,ye',alwelt xye'w.+,Cabal dió la vuelta. *
Sapo y venado,T49_P246,famar,"Tren famar rib' li bee,+",Se afamava en el camino.
Sapo y venado,T49_P250,kemee,Pwee por medyo ke... kemeeli' tra istorya+,Pues por medio que están tejidos esas historias. (han quedado esas historias) *
Sapo y venado,T49_P253,yol,"Per man jun xinyol mir,+",Pero uno que conte hace un rato.
Sapo y venado,T49_P254,k'is,nimi' lajori xk'isi' ral istorya.+,Es grande ahora se termino está historia.
Chipaj,T50_P6,yool,segun loke xyool taq+,segun loque nos contaron.
Chipaj,T50_P15,k'ot,Xk'otsaji' juntir ra qalwar niri.+,Escarbaron todo nuestro lugar aqui.
Chipaj,T50_P24,b'ij,"I despwe...s xb'ij taq ke... ke,+",Y despues dijeron que que.
Chipaj,T50_P25,pongamos,lajorii pongamos tijna' juntir tiko'n chuch.+,Ahora pongamos se da todo tipo de siembras allí.
Chipaj,T50_P31,wa'r,Ke tijin twa'r sa'j juntiir.+,Que se esta parando la época de verano todo.
Chipaj,T50_P41,k'is,ya chee' tijin tik'is.+,Ya los arboles se estan terminando.
Chipaj,T50_P46,k'is,ya tijin jun tk'is juntir maq tra chee'.+,Ya se esta un terminando todos los arboles.
Chipaj,T50_P52,-tos,qatiit' lajori xkantose' taq.+,Nuestras abuelas ahora nos dejaron apartado.
Chipaj,T50_P62,bee,"I lajori pwe bee ake...,+",Y ahora ve a que.
Chipaj,T50_P70,tooj,I li tojsaal tooj... tijtoja'tqa'n.+,"Y eso lo pagan, lopagan ellos."
Chipaj,T50_P74,tik,I despwes por es jwi'l li xtikmaj+,Y después por eso ya sembramos.
Chipaj,T50_P83,paj,"Li paja',+",En la paja.
Chipaj,T50_P87,en,"Porke komoo jwisyi' xen ójor,+",Porque como fue tremendo lo que hizo antiguamente.
Chipaj,T50_P88,k'ot,kwand xk'otmaaj.+,Cuando se escarbo.
Chipaj,T50_P93,k'ot,"xk'otmaji' juntir,+",Se escarbo todo.
Chipaj,T50_P93,-maj,"xk'otmaji' juntir,+",Se escarbo todo.
Chipaj,T50_P96,k'is,Si pwes xaq li xk'is.+,Si pues solo eso termino.
Hombre mandón,T37_P2,taq,wi' jun wunaq pok titaqon.+,Hay un hombre mucho manda. Es un hombre mandon.
Hombre mandón,T37_P11,-sir,"kiyeresir jwebes,+",Quiere decir jueves.
Hombre mandón,T37_P33,k'am,"xk'am b'i kolob' atb'e taq,+",Lleven lazos cuando se van.
Hombre mandón,T37_P35,xij,Tons xij taq maq mokom.+,Entonces dijeron los mozos.
Hombre mandón,T37_P45,ik'aaj,pwes i we k'ex man trik'aaj+,Pues y si le cae mal.
Hombre mandón,T37_P47,en,I loke xen re xe'.+,Y loque hizo él se fue.
Hombre mandón,T37_P48,b'an,Jaan b'an man xkan+,Esta bien pues se quedó.
Hombre mandón,T37_P50,taw,"Xtaw taq li, li, li potrer nikare'.+",Llegaron en el potrero.
Hombre mandón,T37_P54,ya',cha' i wi' taq kristyan xya' taq atz'am re maq wákix.+,Dice.Y estan las personas les dieron sal a las vacas.
Hombre mandón,T37_P65,ij,Toos xiij re.+,Entonces dijo él.
Hombre mandón,T37_P66,ij,Uuy toos xij chirb'il rib'aq.+,Huy entonces se dijeron entre ellos.
Hombre mandón,T37_P78,yuq,"Tz'aqat tyuq qame',+",Despues los venimos a trer.
Hombre mandón,T37_P81,cha',tcha' maq ni'j.+,Dicen los otros.
Hombre mandón,T37_P82,taw,"Qame' maq ni'j kones man ril ooj taw,+",Llevemos los otros con estos miren.
Hombre mandón,T37_P90,k'am,cha' maq ni'j xk'am taq b'i wákix xij ye'....+,Dijeron los otros se llevaron las vacas lo dejaron.
Hombre mandón,T37_P90,ij,cha' maq ni'j xk'am taq b'i wákix xij ye'....+,Dijeron los otros se llevaron las vacas lo dejaron.
Hombre mandón,T37_P90,ye',cha' maq ni'j xk'am taq b'i wákix xij ye'....+,Dijeron los otros se llevaron las vacas lo dejaron.
Hombre mandón,T37_P91,taw,"Xtaw taq xi'j taq re man patron,+",Llegaron le dijeron al patron.
Hombre mandón,T37_P91,i'j,"Xtaw taq xi'j taq re man patron,+",Llegaron le dijeron al patron.
Hombre mandón,T37_P95,ta,Saber neen tita' tqach'eb' jwich jun wákix+,Saber quien no lo conocemos a esa vaca.
Hombre mandón,T37_P103,tzaq,Naa raj neen tren tzaqsaj jch'olaq.+,Nada quiere que hacer por eso los asustan.
Hombre mandón,T37_P106,cha',tcha' rechaq cha'.+,Les dejo dice.
Hombre mandón,T37_P110,tzaq,"Iin ta' tzaq inch'ol,+",Yo no tengo miedo.
Hombre mandón,T37_P124,k'am,"xk'am ma jkolob',+",Llevo su lazo.
Hombre mandón,T37_P127,keja,xkejaj maj.+,Monto su:
Hombre mandón,T37_P128,ensyar,Xen ensyar majkwa'y.+,Ensilló su caballo.
Hombre mandón,T37_P129,k'am,"I xk'am b'ik,+",Y se lo llevo.
Hombre mandón,T37_P130,keja,xkejaj b'ik majkwa'y.+,Se montó en su caballo.
Hombre mandón,T37_P135,ij,Wi' xe' taq xij rile' taq xe' taq.+,Y se fuerón a ver se fuerón.
Hombre mandón,T37_P161,iij,Toos xiij rechaq.+,Entonces dijeron ellos.
Hombre mandón,T37_P163,tzaq,naa tzaq ach'olaq diyunabes tzaq ach'olaq.+,"No se asusten, de una sola vez."
Hombre mandón,T37_P166,tromb'ej,iin tromb'ejna est inkwin chij chapik.+,Lo seguire hasta poder agarrarlo.
Hombre mandón,T37_P173,il,"A aat atiluk,+",Allí usted pues.
Hombre mandón,T37_P179,tzaq,A' diyunabes ataq tzaq ach'olaq.+,A de una vez ustedes se asustan.
Hombre mandón,T37_P180,keje,"in si xkejej ma jkwa'y,+","Yo si, montó su caballo."
Hombre mandón,T37_P181,k'am,"xk'am ma jkolob' tromb'onb'ej man wákix,+",Llevo su lazo y PERSiguio esa vaca.
Hombre mandón,T37_P181,tromb'onb'e,"xk'am ma jkolob' tromb'onb'ej man wákix,+",Llevo su lazo y PERSiguio esa vaca.
Hombre mandón,T37_P186,welt,"I welt i welt tya' man wákix chuch,+",Y vuelta y vuelta dio la vaca en frente de él.
Hombre mandón,T37_P186,welt,"I welt i welt tya' man wákix chuch,+",Y vuelta y vuelta dio la vaca en frente de él.
Hombre mandón,T37_P186,ya',"I welt i welt tya' man wákix chuch,+",Y vuelta y vuelta dio la vaca en frente de él.
Hombre mandón,T37_P188,el,"Kom ta' la' ti'elw,+",Como no tiene en donde salir.
Hombre mandón,T37_P194,tor,"I ril re onli xtor man pwert,+",Y vio él asi abrio la puerta.
Hombre mandón,T37_P195,romb'e,"xel b'i re lomis tromb'ej b'i la' jun ra k'echelaaj,+","Salio él lo mismo, persiguiendo en una montaña."
Hombre mandón,T37_P197,tromb'e,"Kom wi' jun k'echelaaj xtromb'ej,+",Como hay una montaña lo persiguió.
Hombre mandón,T37_P199,romb'e,"Tromb'el man wákix jwi'l,+",Tenia PERSiguido la vaca.
Hombre mandón,T37_P201,ye',I taq mokom ril taq xye' man wunaq+,Y los mozos solo vieron que se el hombre.
Hombre mandón,T37_P203,romb'e,"Tromb'ej man, man wákix laqu... laq k'echelaaj.+",perseguió a esa esa vaca en la montaña.
Hombre mandón,T37_P239,romb'e,"I tromb'el jwi'l,+",Y lo tenia perseguido.
Hombre mandón,T37_P251,tok,Pen ne' tqate' na'li li naj tren tokik man wákix li.+,"Derepente lo encontramos otra vez, derepente se lleva muchos días en buscar esa vaca."
Hombre mandón,T37_P256,ye',"Nik' rk'il kila' ta' tkojon jun kastig tye'saj re,+",Es como allí no respeta es un castigo que le dan a uno.
Hombre mandón,T37_P267,perdonar,"I diyoos xoj na' perdonar,+",Y Dios nos perdonó.
Hombre mandón,T37_P270,en,"Diyoos xen kastigar,+",Dios lo castigó.
Hombre mandón,T37_P270,kastigar,"Diyoos xen kastigar,+",Dios lo castigó.
Hombre mandón,T37_P271,k'am,"xk'amsaj b'ik,+",Lo llevaron.
Hombre mandón,T37_P275,k'is,I' usil k'isb' re man wákix.+,Y poco a poco ya de último la vaca.
Hombre mandón,T37_P278,k'am,xk'amsaj b'i jwi'l man wákix.+,Se lo llevaron por esa vaca.
Hombre mandón,T37_P296,qej,Kwand tib'iqej taq chik b'ik+,Cuando bajan otra vez. (llegan)
Hombre mandón,T37_P302,tzaq,i onli tren sol chaq tzaqow ch'ol.+,Y solo asi hace espanta.
Hombre mandón,T37_P304,ta',"b'a ri nunk chik xta' ril taq chik jwich man patron,+",Ya nunca encontraron o vieron la cara del patron.
Hombre mandón,T37_P308,t'ij,Pores t'ij taq kristyan ke... loke tiyolow taq neen pee jb'anik q'iij.+,"Por eso dicen las personas, que loque cuentan como es el dia."
Hombre mandón,T37_P309,b'ij,"O... tib'ijsaj re jun chuchqaaw,+",O lo que dicen a un anciano o guia.
Hombre mandón,T37_P317,ok,i neen t'ok rk'i jun.+,Y quien entra con uno.
Hombre mandón,T37_P319,en,Jnon k'u xen re neesiy jtaqik taq kristyan.+,Asi hizo él necio para mandar las personas.
Hombre mandón,T37_P320,k'om,I balut xuq k'omsaj re.+,Y vinieron a traer a él.
Hombre mandón,T37_P323,t'ok,O neen jb'anik re ta' t'ok iil+,O como que a él no le inporta.
Hombre mandón,T37_P325,en,Pores chub' man lii kabal xensaj re.+,"Por eso ese modo, cabal le hicieron a él así."
Hombre mandón,T37_P326,k'am,"Porke xk'amsaj b'ik,+",Porque lo llevaron.
Hombre mandón,T37_P331,b'an,"Loke xkan b'ansaj re,+",Loque dejaron hecho a él.
Hombre mandón,T37_P334,k'is,I nuk ti'ilsaj jwich non qe li xk'is.+,Y nunca miran su cara y solo asi se termino.
Hombre mandón,T37_P339,k'ut,"Ri' k'ut,+",Eso es.
Hombre mandón,T37_P340,t'ij,pores t'ij taq ke+,Por eso dicen que.
Hombre mandón,T37_P343,wardar,"Jun jne' wardar nikare' jun rat,+",Uno debe guardar un rato.
Hombre mandón,T37_P346,en,awasi'n nik' qe chuk' xen jun wunaq na'e.+,es pecado es igual que como hizo un hombre antes.
Hombre mandón,T37_P349,íj,"Xijsaj re tzik' anm nesy tk'amsaj b'i li chaak,+",Le dijeron por la mujer o señora tan necio llevo la mujer a trabajar.
Hombre mandón,T37_P349,k'am,"Xijsaj re tzik' anm nesy tk'amsaj b'i li chaak,+",Le dijeron por la mujer o señora tan necio llevo la mujer a trabajar.
Hombre mandón,T37_P350,k'om,tk'omsaj b'i li nim q'iij.+,Lo llevan a la fiesta.
Hombre mandón,T37_P357,xe',"Jaan xe' li chaak,+",Esta bien se fue atrabajar.
Hombre mandón,T37_P364,qee,"Tijinin jun ka'n qeeselch witz witz,+",Con gran ruido venia bajando un animal debajo del cerro.
Hombre mandón,T37_P372,t'oj,Wi' tzik' rsoron xkaj t'oje' xelmajch jol.+,Tenia su azadon lo dejo tirado se vino corriendo.
Hombre mandón,T37_P373,tij,"Ya tijsaj jwi' man kumetz,+",Ya lo comian por la culebra.
Hombre mandón,T37_P376,ij,loke neen xij rixoqil re.+,Loque le dijo su esposa a él.
Hombre mandón,T37_P382,ene,I loke xene... i loke xen li.+,Y loque hizo y loque hizo es.
Hombre mandón,T37_P382,en,I loke xene... i loke xen li.+,Y loque hizo y loque hizo es.
Hombre mandón,T37_P383,xi'j,Pores xi'j re rxóqil.+,Poreso dijo él a su esposa.
Hombre mandón,T37_P384,ta',"Onrli xinta' ri', ri' li ta' ch'ek.+","Asi encontre, eso es lo que ganastes."
Hombre mandón,T37_P384,ch'ek,"Onrli xinta' ri', ri' li ta' ch'ek.+","Asi encontre, eso es lo que ganastes."
Hombre mandón,T37_P387,b'ij,Kebal xinb'ij chawe+,Cabal te lo dije.
Hombre mandón,T37_P394,ch'ab'ee,per ta' chki' xatin ch'ab'ej.+,Pero ya no te dije nada. O ya no te hable.
Hombre mandón,T37_P397,-ta,Wen kom ta' chawaj tata loke jun tijb'ij chawe+,Bueno como no quieres escuchar loque uno te dice.
Hombre mandón,T37_P398,-te',ri' li xate'.+,Eso es lo que encontrastes.
Hombre mandón,T37_P399,te,"Pwes kom ri' li xate,+",Pues como eso es lo que encontrastes.
Hombre mandón,T37_P400,koj,"pwes kom ta' atkojon,+",Pues como no obedeces.
Hombre mandón,T37_P406,en,I ri' non li xen pasar man jun lomism.+,Y asi es como hizo pasar ese uno lo mismo.
Hombre mandón,T37_P406,pasar,I ri' non li xen pasar man jun lomism.+,Y asi es como hizo pasar ese uno lo mismo.
Hombre mandón,T37_P407,wardar,"I jwi'l ta', ta' xen wardar q'iij.+",Y porque no no guardo reposo del dia grande.
Hombre mandón,T37_P408,sach,Pwes sach b'i dyunabes xk'amsaj b'ik.+,Pues se perdio de una vez se lo llevaron.
Hombre mandón,T37_P408,k'am,Pwes sach b'i dyunabes xk'amsaj b'ik.+,Pues se perdio de una vez se lo llevaron.
Hombre mandón,T37_P410,tzaq,Kwand xtzaqsaj jch'ol man kumetz.+,Cuando lo asustaron por la culebra.
Hombre mandón,T37_P413,k'at,"Xk'atsaj jwich,+",Ya lo desengañaron.
Hombre mandón,T37_P416,tij,porke il li yamer xtijsaj jwi'l man kumetz.+,"Porque miren eso pues, yamero lo comieron por la culebra."
Hombre mandón,T37_P424,t'ij,"I kom t'ij taq ke San Isidr,+",Y como dicen que San Isidro.
Hombre mandón,T37_P438,welt,t'ijye' taqch welt jili....+,Dan vuelta allá.
Hombre mandón,T37_P441,welt,"Tijye' taqch welt re San Isidr,+",Le dan vuelta a San Isidro. (proseción)
Hombre mandón,T37_P443,ok,"Kond t'ok tra prosesyon,+",Cuando entra la procesión.
Hombre mandón,T37_P444,jach,wi' bese... ajri' tijin tijach taq tra jo'ch'.+,Hay beces que apenas empiezan a repartir el atolito.
Hombre mandón,T37_P445,ye',Wi' tra kostumbr tiye' jo'ch' laq mulul.+,Hay costumbres que dan atol entre jícaras.
Hombre mandón,T37_P459,kastigar,i pores tqa'ij ooj tz'eti'n pwes tijna' kastigar jun.+,"Y por eso decimos nosotros es cierto, pues hace castigar a uno."
Pedro-Malo,T36_P13,b'en,rik'il padre tib'ensaj,Con el padre hacen.
Pedro-Malo,T36_P14,taw,"tons xtaw re,+",Entonces llego él.
Pedro-Malo,T36_P16,en,"I xpe re... lokexen re xk'amb',+","Y vino él lo que hizo, se llevó."
Pedro-Malo,T36_P16,k'am,"I xpe re... lokexen re xk'amb',+","Y vino él lo que hizo, se llevó."
Pedro-Malo,T36_P17,k'am,xk'amb' jkaret chirij wákix+,Llebo su carreta detras de una vaca. (fue jalada la carreta por los bueyes)
Pedro-Malo,T36_P23,b'en,no ke konto wákix tib'ensaj bendesir xi'j.+,No que con toda y vacas le dan la vendición.
Pedro-Malo,T36_P23,bendesir,no ke konto wákix tib'ensaj bendesir xi'j.+,No que con toda y vacas le dan la vendición.
Pedro-Malo,T36_P23,i'j,no ke konto wákix tib'ensaj bendesir xi'j.+,No que con toda y vacas le dan la vendición.
Pedro-Malo,T36_P25,b'i,"re ta' tijkoj neb'ire',+",Él no cree como se llama...
Pedro-Malo,T36_P26,b'i,si neb'ire'+,Si como se llama o como es...
Pedro-Malo,T36_P30,i'j,"Tons xi'j padre re,+",Entonces le dijo el padre a él.
Pedro-Malo,T36_P32,be,wa'xenw rik'il laq loke nik'j wi' taq ki'li be+,Quédate con los que estan ahí vé.
Pedro-Malo,T36_P33,ben,"olb'eel jwi'laq, nen or tib'ensaj bendisyon, re maq karet,+",Esperando que horas hacen la vendición de las carretas.
Pedro-Malo,T36_P36,b'en,Ta' k'ex tib'ensaj k'ex re kristyaan+,Derepente le hace daño a la gente.
Pedro-Malo,T36_P38,'an,"A, si ta' chawaj ta'an bendesir inwákix pech inkaret+",A si no queres que bendigas mi vaca junto mi carreta. (bueyes)
Pedro-Malo,T36_P38,bendesir,"A, si ta' chawaj ta'an bendesir inwákix pech inkaret+",A si no queres que bendigas mi vaca junto mi carreta. (bueyes)
Pedro-Malo,T36_P40,bendesid,"ya inkaret iin bendesid chaq, jwi'l dyawl,+",Ya mi carreta yo ya esta bendecido por él diablo.
Pedro-Malo,T36_P43,tzaq,Nad majwex ta' chiki ta' tzaq bendisyon at chub'.+,Nada ya no es necesario que heche la bendición usted encima.
Pedro-Malo,T36_P46,b'an,nen tatok neri b'an si ya bendesid chaq jat.+,Que buscas aquí pues si ya esta vendita bete.
Pedro-Malo,T36_P51,pe,"Ntons xpe taq, taq wákix,+",Entonces vinieron las vacas. (vueyes)
Pedro-Malo,T36_P52,en,"tons loke xen taq, taq wákix+",Entonces lo que hicieron las vacas.
Pedro-Malo,T36_P54,jus,"xjusaj rib'aq li yugo,+",Se safaron del yugo.
Pedro-Malo,T36_P58,en,tons x...i taq wákix kita' xen taq intento xok taq laj chótix+,Entonces solamente las vacas no hicieron él intento de entrar a la iglesia.
Pedro-Malo,T36_P58,intento,tons x...i taq wákix kita' xen taq intento xok taq laj chótix+,Entonces solamente las vacas no hicieron él intento de entrar a la iglesia.
Pedro-Malo,T36_P62,respetar,"I re, kirtyani'n, kita' tran respetar.+",Y él es persona no respeta.
Pedro-Malo,T36_P65,en,"loke xen taq xjusaj b'ik rib'aq la' jyugo xe' taq,+",Lo que hicierón se safaron del yugo se fueron.
Pedro-Malo,T36_P65,jus,"loke xen taq xjusaj b'ik rib'aq la' jyugo xe' taq,+",Lo que hicierón se safaron del yugo se fueron.
Pedro-Malo,T36_P66,kaa,xkaaj ye' taq man karet.+,Dejarón la carreta.
Pedro-Malo,T36_P67,ij,"Tons, yaa, xpe padre xij re,+",Entonces ya vino el padre dijo a él.
Pedro-Malo,T36_P73,jus,xpe xjusaajb'i rib'aq+,Vinieron se safarón.
Pedro-Malo,T36_P87,k'am,"xk'am b'i jkaret,+",Llevo su carreta.
Pedro-Malo,T36_P90,-tzaq,xtzaq jch'olaq chuch.+,Se asustarón en frente de.
Pedro-Malo,T36_P99,tzaq,"xtzaqow ch'ol laq'ab',+",Espanta en las noches.
Pedro-Malo,T36_P101,tzaq,"Dyunabes xkaan reqe tzaqow ch'ol laq b'e,+",De una vez se volvió espanto en los caminos.
Pedro-Malo,T36_P106,maldisyaad,Kom maldisyaad chaq+,Como ya esta maldecido.
Pedro-Malo,T36_P108,en.,ta' tzii loke xen.+,No es bueno lo que hizo.
Pedro-Malo,T36_P109,jurchuchu,S.. kya rík'an chaq re jurchuchul maj karet+,Ya solito él jalava su casrreta.
Pedro-Malo,T36_P117,tzaq,"ori la q'ab' titzaqw ch'ool,+","Ahora, de noche espantan."
Pedro-Malo,T36_P128,kojón,ta' tikojon taq nad. U...+,No respetan nada.
Pedro-Malo,T36_P129,koj,ta' tijkooj taq dyoos+,No creen en Dios.
Pedro-Malo,T36_P134,bendesir,Tons xensaj bendesir+,Entonces lo bendijeron.
Pedro-Malo,T36_P135,wa'kot,"kyere desir jbid, rechi' tiwa'kot+",Quiere decir su vida es de pasear.
Pedro-Malo,T36_P139,bendesid,"Kom tijb'ij ke, étzel bendesid jwi'l.+",Como dicen que él mal lo bendijo.
Pedro-Malo,T36_P144,aan,"ma aan taq k'ex,+",No hagan daño.
Pedro-Malo,T36_P145,b'en,porke ta' tzii tib'ensaj maldisyar jbid jun.+,Porque no es bueno que maldicen la vida de uno.
Pedro-Malo,T36_P145,maldisyar,porke ta' tzii tib'ensaj maldisyar jbid jun.+,Porque no es bueno que maldicen la vida de uno.
Ocupaciones,T68_P2,chap,in pwes in tinyol pwes loke nmoo oj anm ojchapon la jaa.+,"Yo pues yo quiero contarles loque como nosotras las mujeres, hacemos los oficios en la casa."
Ocupaciones,T68_P3,b'it,I kwando oj b'itk ri' tqamaaj jb'anik qames+,Y cuando nos levantamos es empezar a barrer.
Ocupaciones,T68_P8,chamaa,"i tchaqmaajk,+",Y terminamos de quebrantarlo.
Ocupaciones,T68_P10,b'en,"i despwes tb'entaaj li,+","Y despues de terminar eso,"
Ocupaciones,T68_P15,lej,"Ya tlejmaj qawa li,+",Ya terminamos de tortear nuestras tortillas.
Ocupaciones,T68_P16,b'it,bay despwes tb'it wunaq li+,Baya despues se levanta el hombre pues..
Ocupaciones,T68_P22,win,"twintqa'n,+",Comen ellos.
Ocupaciones,T68_P27,-k,ch'ajmaj qelen qe oj ojk...+,Terminamos de lavar nuestras cosas nosotras empezamos.
Ocupaciones,T68_P28,k'is,tk'is li qupiis li+,Termina nuestro oficio.
Ocupaciones,T68_P36,xekma,"Tixekmaj, tixekmaj+",Despues de comenzarlo.
Ocupaciones,T68_P36,xekma,"Tixekmaj, tixekmaj+",Despues de comenzarlo.
Ocupaciones,T68_P42,k'is,"tqatiq rapalm xk'is jtzam tqatiqch,+",Lo añadimos nuestra palma termino su punta lo añadimos.
Ocupaciones,T68_P48,taw,"myentras ke taw chik oraa a las onse,+",Mientras que llega la hora a las once.
Ocupaciones,T68_P49,b'it,"ojb'itchikich' juntir chik,+",Nos levantamos otra vez.
Ocupaciones,T68_P50,PREParar,ojb'e chik tqane' chik PREParar qaw re kab'lujuj chik+,Nos vamos a PREParar nuestra tortilla para nuestro almuerzo.
Ocupaciones,T68_P53,ye',i non li mism kib' ka' tye'saj re+,Y asi es lo mismo dos pasda en la piedra de moler le damos.
Ocupaciones,T68_P63,b'en,"bay despwes tb'entaj qupiis re la jaa li,+",Baya despues de terminar nuestro oficio dentro de la casa.
Ocupaciones,T68_P66,taw,I ri' b'eq'iij chik mis li titaw a las kwatro+,"Y en la tarde otra vez, es el mismo llega a las cuatro."
Ocupaciones,T68_P67,b'it,"oj b'it chik juntir chik,+",Nos levantamos otra vez.
Ocupaciones,T68_P72,koj,Tkojmaj qatzi b'a q'aaq'+,Terminamos de poner nuestro nixtamal sobre el fuego.
Ocupaciones,T68_P74,koj,tkojmajch qakafe+,Terminamos de poner nuestro cafe.
Ocupaciones,T68_P75,chaq',tichaq'ch qakafe tqesajb'ik.+,Se coce nuestro cafe lo sacamos.
Ocupaciones,T68_P78,ok,myentras t'ok aq'ab' chik.+,Mientras entra la noche otra vez.
Ocupaciones,T68_P79,ok,"Ya t'ok aq'ab' chik,+",Ya entra la noche otra vez.
